entry_time,entry_price,exit_time,exit_price,hold_seconds,quantity,profit_bps,cost_bps,net_profit_bps,pnl_amount,merge_count
2025-12-09 09:32:15,1.583,2025-12-09 09:33:03,1.584,48.0,132000.0,6.317119393557245,2.0,4.317119393557246,90.19560000000638,0.0
2025-12-09 09:45:12,1.578,2025-12-09 09:46:36,1.579,84.0,132500.0,6.337135614701456,2.0,4.337135614701456,90.66975000000093,0.0
2025-12-09 09:49:57,1.578,2025-12-09 09:53:27,1.58,210.0,132500.0,12.674271229404319,2.0,10.674271229404319,0.0,1.0
2025-12-09 10:02:39,1.577,2025-12-09 10:03:42,1.578,63.0,132700.0,6.341154090045098,2.0,4.341154090045098,90.8331500000204,0.0
2025-12-09 10:30:03,1.572,2025-12-09 10:30:39,1.573,36.0,133200.0,6.361323155215584,2.0,4.361323155215584,91.30860000001849,0.0
2025-12-09 10:57:00,1.57,2025-12-09 10:58:54,1.571,114.0,133500.0,6.3694267515916545,2.0,4.369426751591655,91.56765000001178,0.0
2025-12-09 14:20:00,1.562,2025-12-09 14:21:57,1.563,117.0,134200.0,6.402048655569077,2.0,4.402048655569078,92.26250000004075,0.0
2025-12-10 09:42:48,1.552,2025-12-10 09:44:33,1.553,105.0,135100.0,6.443298969071455,2.0,4.443298969071455,93.15144999997574,0.0
2025-12-10 09:46:00,1.553,2025-12-10 09:49:03,1.556,183.0,135100.0,19.317450096587983,2.0,17.317450096587983,0.0,1.0
2025-12-10 09:50:48,1.556,2025-12-10 09:52:48,1.557,120.0,135000.0,6.426735218508289,2.0,4.4267352185082895,92.97450000001118,0.0
2025-12-10 09:54:33,1.557,2025-12-10 09:56:33,1.558,120.0,134900.0,6.422607578677662,2.0,4.422607578677662,92.87865000002785,0.0
2025-12-10 10:00:15,1.556,2025-12-10 10:02:15,1.557,120.0,135100.0,6.426735218508289,2.0,4.4267352185082895,93.04336999999941,0.0
2025-12-10 10:05:36,1.558,2025-12-10 10:07:33,1.559,117.0,135000.0,6.418485237483247,2.0,4.418485237483247,92.92050000000745,0.0
2025-12-10 10:16:18,1.553,2025-12-10 10:18:18,1.554,120.0,135500.0,6.439150032196471,2.0,4.439150032196471,93.40015000003041,0.0
2025-12-10 10:20:00,1.554,2025-12-10 10:22:00,1.555,120.0,135400.0,6.435006435005726,2.0,4.435006435005726,93.30413999999291,0.0
2025-12-10 10:25:27,1.555,2025-12-10 10:27:24,1.556,117.0,135400.0,6.430868167203292,2.0,4.430868167203292,93.27705999999307,0.0
2025-12-10 10:40:33,1.554,2025-12-10 10:42:33,1.555,120.0,135500.0,6.435006435005726,2.0,4.435006435005726,93.3730500000238,0.0
2025-12-10 10:49:06,1.555,2025-12-10 10:50:57,1.556,111.0,135500.0,6.430868167203292,2.0,4.430868167203292,93.34595000001718,0.0
