run_id,regime,duration
584,normal:trending,53
585,normal:neutral,51
586,normal:trending,50
587,normal:neutral,56
588,normal:trending,50
589,normal:neutral,54
590,normal:trending,50
591,normal:neutral,50
592,normal:trending,73
593,normal:neutral,50
594,normal:trending,50
595,normal:neutral,54
596,normal:trending,50
597,normal:neutral,50
598,normal:trending,55
599,normal:neutral,61
600,normal:trending,50
601,normal:neutral,50
602,normal:trending,50
603,normal:neutral,68
604,normal:trending,68
605,normal:neutral,50
606,normal:trending,50
607,normal:neutral,50
608,normal:trending,54
609,normal:neutral,60
610,normal:trending,52
611,normal:neutral,50
612,normal:trending,50
613,normal:neutral,54
614,normal:trending,50
615,normal:neutral,50
616,normal:trending,50
617,normal:neutral,50
618,normal:trending,50
619,normal:neutral,50
620,normal:trending,58
621,normal:neutral,70
622,normal:trending,55
623,high_volatility:neutral,41
624,normal:neutral,52
625,normal:trending,67
626,normal:neutral,61
627,normal:trending,50
628,normal:neutral,50
629,normal:trending,50
630,normal:neutral,50
631,normal:trending,89
632,normal:neutral,57
633,normal:trending,51
634,normal:neutral,50
635,normal:trending,50
636,normal:neutral,102
637,normal:trending,84
638,illiquid:neutral,30
639,normal:neutral,50
640,normal:trending,68
641,normal:neutral,50
642,normal:trending,54
643,normal:neutral,68
644,normal:trending,53
645,normal:neutral,77
646,normal:trending,44
647,illiquid:neutral,30
648,normal:neutral,50
649,normal:trending,50
650,normal:neutral,50
651,normal:trending,50
652,normal:neutral,50
653,normal:trending,94
654,normal:neutral,55
655,normal:trending,50
656,normal:neutral,54
657,normal:trending,50
658,normal:neutral,55
659,normal:trending,53
660,normal:neutral,83
661,normal:trending,50
662,normal:neutral,50
663,normal:trending,50
664,normal:neutral,104
665,normal:trending,31
666,illiquid:neutral,30
667,normal:neutral,69
668,normal:trending,50
669,normal:neutral,50
670,normal:trending,50
671,normal:neutral,50
672,normal:trending,50
673,normal:neutral,57
674,normal:trending,50
675,normal:neutral,76
676,normal:trending,52
677,normal:neutral,50
678,normal:trending,50
679,normal:neutral,58
680,normal:trending,73
681,normal:neutral,51
682,normal:trending,68
683,normal:neutral,50
684,normal:trending,86
685,normal:neutral,104
686,normal:trending,84
687,normal:neutral,50
688,normal:trending,56
689,normal:neutral,58
690,normal:trending,72
691,normal:neutral,56
692,normal:trending,50
693,normal:neutral,50
694,normal:trending,50
695,normal:neutral,50
696,normal:trending,51
697,normal:neutral,100
698,normal:trending,55
699,normal:neutral,50
700,normal:trending,50
701,normal:neutral,52
702,normal:trending,57
703,normal:neutral,50
704,normal:trending,58
705,normal:neutral,85
706,normal:trending,89
707,normal:neutral,50
708,normal:trending,50
709,normal:neutral,74
710,normal:trending,50
711,normal:neutral,80
712,normal:trending,52
713,normal:neutral,57
714,normal:trending,52
715,normal:neutral,50
716,normal:trending,59
717,normal:neutral,50
718,normal:trending,50
719,normal:neutral,50
720,normal:trending,57
721,normal:neutral,80
722,normal:trending,51
723,normal:neutral,50
724,normal:trending,53
725,normal:neutral,52
726,normal:trending,58
727,normal:neutral,56
728,normal:trending,64
729,normal:neutral,50
730,normal:trending,50
731,normal:neutral,57
732,normal:trending,50
733,normal:neutral,78
734,normal:trending,50
735,normal:neutral,50
736,normal:trending,55
737,normal:neutral,66
738,normal:trending,50
739,normal:neutral,52
740,normal:trending,50
741,normal:neutral,50
742,normal:trending,136
743,normal:neutral,50
744,normal:trending,50
745,normal:neutral,51
746,normal:trending,50
747,normal:neutral,50
748,normal:trending,50
749,normal:neutral,103
750,normal:trending,78
751,high_volatility:neutral,41
752,normal:neutral,50
753,normal:trending,50
754,normal:neutral,50
755,normal:trending,54
756,normal:neutral,50
757,normal:trending,88
758,normal:neutral,54
759,normal:trending,13
760,illiquid:neutral,30
761,normal:neutral,50
762,normal:trending,53
763,illiquid:neutral,30
764,normal:neutral,50
765,normal:trending,52
766,normal:neutral,55
767,normal:trending,55
768,normal:neutral,50
769,normal:trending,21
770,illiquid:neutral,30
771,normal:neutral,50
772,normal:trending,59
773,normal:neutral,31
774,illiquid:neutral,38
775,normal:neutral,50
776,normal:trending,86
777,normal:neutral,94
778,normal:trending,55
779,normal:neutral,50
780,normal:trending,52
781,illiquid:neutral,38
782,normal:neutral,62
783,normal:trending,50
784,normal:neutral,70
785,illiquid:neutral,30
786,normal:neutral,61
787,normal:trending,50
788,normal:neutral,60
789,normal:trending,56
790,normal:neutral,75
791,normal:trending,63
792,normal:neutral,50
793,normal:trending,92
794,normal:neutral,51
795,normal:trending,59
796,normal:neutral,50
797,normal:trending,50
798,normal:neutral,50
799,normal:trending,89
800,normal:neutral,50
801,normal:trending,51
802,normal:neutral,50
803,normal:trending,59
804,normal:neutral,50
805,normal:trending,50
806,normal:neutral,50
807,normal:trending,52
808,normal:neutral,78
809,normal:trending,82
810,normal:neutral,130
811,normal:trending,50
812,normal:neutral,62
813,normal:trending,50
814,normal:neutral,96
815,normal:trending,59
816,normal:neutral,101
817,normal:trending,50
818,normal:neutral,45
819,high_volatility:neutral,41
820,normal:neutral,31
821,illiquid:neutral,61
822,normal:neutral,77
823,normal:trending,17
824,illiquid:neutral,35
825,normal:neutral,86
826,normal:trending,17
827,illiquid:neutral,33
828,normal:neutral,51
829,normal:trending,50
830,normal:neutral,50
831,normal:trending,31
832,illiquid:neutral,46
833,normal:neutral,50
834,normal:trending,115
835,normal:neutral,50
836,normal:trending,59
837,normal:neutral,50
838,normal:trending,50
839,normal:neutral,51
840,normal:trending,50
841,normal:neutral,50
842,normal:trending,50
843,normal:neutral,72
844,normal:trending,50
845,normal:neutral,50
846,normal:trending,53
847,normal:neutral,50
848,normal:trending,8
849,illiquid:neutral,30
850,normal:neutral,50
851,normal:trending,51
852,normal:neutral,50
853,normal:trending,50
854,normal:neutral,55
855,normal:trending,61
856,normal:neutral,50
857,normal:trending,51
858,normal:neutral,50
859,normal:trending,68
860,normal:neutral,50
861,normal:trending,50
862,normal:neutral,66
863,normal:trending,64
864,normal:neutral,50
865,normal:trending,103
866,normal:neutral,62
867,normal:trending,105
868,normal:neutral,87
869,normal:trending,50
870,normal:neutral,50
871,normal:trending,132
872,normal:neutral,65
873,normal:trending,50
874,normal:neutral,50
875,normal:trending,50
876,normal:neutral,50
877,normal:trending,58
878,normal:neutral,75
879,normal:trending,73
880,normal:neutral,50
881,normal:trending,50
882,normal:neutral,50
883,normal:trending,73
884,normal:neutral,50
885,normal:trending,50
886,normal:neutral,50
887,normal:trending,56
888,normal:neutral,71
889,normal:trending,58
890,normal:neutral,60
891,normal:trending,50
892,normal:neutral,81
893,normal:trending,51
894,normal:neutral,50
895,normal:trending,50
896,normal:neutral,50
897,normal:trending,50
898,normal:neutral,50
899,normal:trending,51
900,normal:neutral,56
901,normal:trending,65
902,normal:neutral,50
903,normal:trending,50
904,normal:neutral,62
905,normal:trending,50
906,normal:neutral,73
907,normal:trending,52
908,normal:neutral,67
909,normal:trending,128
910,normal:neutral,50
911,normal:trending,50
912,normal:neutral,76
913,normal:trending,8
914,illiquid:neutral,30
915,normal:neutral,70
916,normal:trending,58
917,normal:neutral,9
918,illiquid:neutral,30
919,normal:neutral,69
920,normal:trending,4
921,illiquid:neutral,30
922,normal:neutral,57
923,normal:trending,80
924,normal:neutral,9
925,illiquid:neutral,30
926,normal:neutral,50
927,normal:trending,54
928,normal:neutral,72
929,normal:trending,50
930,normal:neutral,50
931,normal:trending,29
932,illiquid:neutral,30
933,normal:neutral,64
934,normal:trending,80
935,normal:neutral,36
936,illiquid:neutral,30
937,normal:neutral,52
938,normal:trending,50
939,normal:neutral,50
940,normal:trending,50
941,normal:neutral,37
942,illiquid:neutral,30
943,normal:neutral,33
944,illiquid:neutral,54
945,normal:neutral,52
946,normal:trending,50
947,normal:neutral,50
948,normal:trending,50
949,normal:neutral,42
950,illiquid:neutral,30
951,normal:neutral,72
952,normal:trending,50
953,normal:neutral,50
954,normal:trending,172
955,normal:neutral,50
956,normal:trending,50
957,normal:neutral,50
958,normal:trending,91
959,normal:neutral,52
960,normal:trending,50
961,normal:neutral,50
962,normal:trending,51
963,normal:neutral,85
964,normal:trending,51
965,normal:neutral,50
966,normal:trending,55
967,normal:neutral,68
968,normal:trending,61
969,normal:neutral,56
970,normal:trending,50
971,normal:neutral,50
972,normal:trending,53
973,normal:neutral,53
974,normal:trending,77
975,normal:neutral,79
976,normal:trending,50
977,normal:neutral,50
978,normal:trending,50
979,normal:neutral,54
980,normal:trending,50
981,normal:neutral,97
982,normal:trending,93
983,normal:neutral,50
984,normal:trending,50
985,normal:neutral,50
986,normal:trending,50
987,normal:neutral,50
988,normal:trending,50
989,normal:neutral,53
990,normal:trending,51
991,normal:neutral,50
992,normal:trending,51
993,normal:neutral,50
994,normal:trending,62
995,normal:neutral,50
996,normal:trending,86
997,normal:neutral,50
998,normal:trending,50
999,normal:neutral,50
1000,normal:trending,65
1001,normal:neutral,73
1002,normal:trending,51
1003,normal:neutral,50
1004,normal:trending,55
1005,normal:neutral,50
1006,normal:trending,50
1007,normal:neutral,88
1008,normal:trending,50
1009,normal:neutral,50
1010,normal:trending,54
1011,normal:neutral,86
1012,normal:trending,50
1013,normal:neutral,50
1014,normal:trending,50
1015,normal:neutral,50
1016,normal:trending,61
